Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00     1340     0.00     0.00  bool __gnu_cxx::operator==<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > >(__gnu_cxx::__normal_iterator<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > > const&, __gnu_cxx::__normal_iterator<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > > const&)
  0.00      0.10     0.00     1339     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > >::operator++()
  0.00      0.10     0.00     1339     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2>*, std::vector<vec<2>, std::allocator<vec<2> > > >::operator*() const
  0.00      0.10     0.00     1339     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2>*, std::vector<vec<2>, std::allocator<vec<2> > > >::operator-(long) const
  0.00      0.10     0.00     1339     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2> const*, std::vector<vec<2>, std::allocator<vec<2> > > >::operator*() const
  0.00      0.10     0.00     1339     0.00     0.00  vec<2>& std::vector<vec<2>, std::allocator<vec<2> > >::emplace_back<vec<2> >(vec<2>&&)
  0.00      0.10     0.00     1339     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::back()
  0.00      0.10     0.00     1339     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::push_back(vec<2>&&)
  0.00      0.10     0.00     1339     0.00     0.00  void std::_Construct<vec<2>, vec<2> const&>(vec<2>*, vec<2> const&)
  0.00      0.10     0.00     1339     0.00     0.00  vec<2> const& std::forward<vec<2> const&>(std::remove_reference<vec<2> const&>::type&)
  0.00      0.10     0.00     1282     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::end()
  0.00      0.10     0.00     1258     0.00     0.00  vec<3>::normalized()
  0.00      0.10     0.00     1258     0.00     0.00  vec<3>::norm() const
  0.00      0.10     0.00     1258     0.00     0.00  vec<3>::norm2() const
  0.00      0.10     0.00     1258     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >::operator*() const
  0.00      0.10     0.00     1258     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >::operator-(long) const
  0.00      0.10     0.00     1258     0.00     0.00  void std::allocator_traits<std::allocator<vec<3> > >::construct<vec<3>, vec<3> const&>(std::allocator<vec<3> >&, vec<3>*, vec<3> const&)
  0.00      0.10     0.00     1258     0.00     0.00  vec<3>& std::vector<vec<3>, std::allocator<vec<3> > >::emplace_back<vec<3> >(vec<3>&&)
  0.00      0.10     0.00     1258     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::back()
  0.00      0.10     0.00     1258     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::push_back(vec<3>&&)
  0.00      0.10     0.00     1258     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::push_back(vec<3> const&)
  0.00      0.10     0.00     1258     0.00     0.00  decltype (::new ((void*)(0)) vec<3>((declval<vec<3> const&>)())) std::construct_at<vec<3>, vec<3> const&>(vec<3>*, vec<3> const&)
  0.00      0.10     0.00     1258     0.00     0.00  vec<3> operator/<3>(vec<3> const&, double const&)
  0.00      0.10     0.00     1258     0.00     0.00  double operator*<3>(vec<3> const&, vec<3> const&)
  0.00      0.10     0.00      255     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.10     0.00      168     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.10     0.00      144     0.00     0.00  vec<3>* std::__niter_base<vec<3>*>(vec<3>*)
  0.00      0.10     0.00      100     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::size() const
  0.00      0.10     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >::base() const
  0.00      0.10     0.00       93     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
